Distance to edge[mm];ERF values;PSF values;
-0,0714946;0,174074;0,562941;
-0,0711628;0,176934;0,56787;
-0,0708311;0,179959;0,572868;
-0,0704993;0,182898;0,578687;
-0,0701675;0,184773;0,584741;
-0,0698358;0,188891;0,591803;
-0,069504;0,191637;0,60034;
-0,0691723;0,193282;0,607973;
-0,0688405;0,197088;0,615818;
-0,0685087;0,199114;0,623547;
-0,068177;0,201627;0,631019;
-0,0678452;0,203752;0,639587;
-0,0675135;0,205585;0,648432;
-0,0671817;0,209658;0,65685;
-0,0668499;0,211833;0,664512;
-0,0665182;0,216253;0,672406;
-0,0661864;0,219974;0,679597;
-0,0658546;0,222796;0,686031;
-0,0655229;0,226937;0,692905;
-0,0651911;0,231344;0,698125;
-0,0648594;0,235326;0,703207;
-0,0645276;0,23838;0,707543;
-0,0641958;0,241131;0,712838;
-0,0638641;0,245996;0,718017;
-0,0635323;0,248567;0,722895;
-0,0632005;0,254279;0,727135;
-0,0628688;0,25791;0,730398;
-0,062537;0,261187;0,73359;
-0,0622053;0,265199;0,737056;
-0,0618735;0,269181;0,740537;
-0,0615417;0,271922;0,742863;
-0,06121;0,276135;0,746446;
-0,0608782;0,27977;0,750399;
-0,0605465;0,282308;0,754631;
-0,0602147;0,286756;0,759211;
-0,0598829;0,290475;0,764444;
-0,0595512;0,2947;0,769831;
-0,0592194;0,298837;0,774752;
-0,0588877;0,300607;0,779985;
-0,0585559;0,304219;0,785992;
-0,0582241;0,308043;0,793383;
-0,0578924;0,313903;0,80184;
-0,0575606;0,317088;0,812249;
-0,0572288;0,320217;0,823135;
-0,0568971;0,324304;0,834449;
-0,0565653;0,328891;0,845587;
-0,0562336;0,333707;0,857376;
-0,0559018;0,338407;0,869434;
-0,05557;0,343543;0,880603;
-0,0552383;0,347848;0,891958;
-0,0549065;0,353005;0,903439;
-0,0545748;0,356731;0,914844;
-0,054243;0,361985;0,925247;
-0,0539112;0,367673;0,935094;
-0,0535795;0,373244;0,945636;
-0,0532477;0,37795;0,955048;
-0,0529159;0,383;0,963595;
-0,0525842;0,389537;0,972178;
-0,0522524;0,393227;0,980727;
-0,0519207;0,399131;0,987468;
-0,0515889;0,402807;0,992996;
-0,0512571;0,407359;0,996568;
-0,0509254;0,412864;0,9989;
-0,0505936;0,416811;0,999788;
-0,0502619;0,423394;1;
-0,0499301;0,429084;0,998252;
-0,0495983;0,435033;0,995281;
-0,0492666;0,441125;0,990464;
-0,0489348;0,445454;0,986077;
-0,0486031;0,450507;0,980619;
-0,0482713;0,455002;0,973956;
-0,0479395;0,459912;0,96678;
-0,0476078;0,466666;0,959293;
-0,047276;0,471181;0,951771;
-0,0469442;0,475376;0,945277;
-0,0466125;0,481079;0,938283;
-0,0462807;0,486442;0,93112;
-0,045949;0,492446;0,924756;
-0,0456172;0,496389;0,918027;
-0,0452854;0,50379;0,912367;
-0,0449537;0,507358;0,907695;
-0,0446219;0,510585;0,90397;
-0,0442902;0,516166;0,900339;
-0,0439584;0,520621;0,897099;
-0,0436266;0,523474;0,896291;
-0,0432949;0,527262;0,895056;
-0,0429631;0,531586;0,895984;
-0,0426313;0,535547;0,89659;
-0,0422996;0,541863;0,898937;
-0,0419678;0,545632;0,902066;
-0,0416361;0,550213;0,904997;
-0,0413043;0,553143;0,909747;
-0,0409725;0,557454;0,914505;
-0,0406408;0,563874;0,919923;
-0,040309;0,570242;0,924868;
-0,0399773;0,573999;0,929007;
-0,0396455;0,577143;0,932714;
-0,0393137;0,583179;0,935096;
-0,038982;0,589328;0,937109;
-0,0386502;0,594997;0,939312;
-0,0383184;0,60021;0,940264;
-0,0379867;0,6039;0,940848;
-0,0376549;0,609633;0,940665;
-0,0373232;0,614759;0,939987;
-0,0369914;0,61971;0,938531;
-0,0366596;0,62548;0,936318;
-0,0363279;0,631419;0,933811;
-0,0359961;0,636254;0,929344;
-0,0356644;0,640497;0,924889;
-0,0353326;0,645685;0,920986;
-0,0350008;0,651528;0,915875;
-0,0346691;0,654445;0,910709;
-0,0343373;0,658775;0,904801;
-0,0340056;0,662568;0,898041;
-0,0336738;0,66707;0,890574;
-0,033342;0,671279;0,883514;
-0,0330103;0,67602;0,87503;
-0,0326785;0,681118;0,866106;
-0,0323467;0,685475;0,856959;
-0,032015;0,689205;0,849104;
-0,0316832;0,692431;0,841497;
-0,0313515;0,696284;0,832954;
-0,0310197;0,699908;0,824095;
-0,0306879;0,704722;0,815558;
-0,0303562;0,71019;0,80846;
-0,0300244;0,715365;0,801982;
-0,0296927;0,719582;0,795804;
-0,0293609;0,723302;0,790796;
-0,0290291;0,727879;0,785804;
-0,0286974;0,733614;0,781017;
-0,0283656;0,737588;0,776999;
-0,0280338;0,741949;0,773557;
-0,0277021;0,745181;0,770407;
-0,0273703;0,749683;0,767413;
-0,0270386;0,752224;0,763044;
-0,0267068;0,755564;0,758384;
-0,026375;0,758691;0,753728;
-0,0260433;0,761369;0,749241;
-0,0257115;0,763221;0,744891;
-0,0253798;0,767664;0,740477;
-0,025048;0,77196;0,737197;
-0,0247162;0,775937;0,733515;
-0,0243845;0,779169;0,729645;
-0,0240527;0,78209;0,725001;
-0,0237209;0,786381;0,720244;
-0,0233892;0,789969;0,715222;
-0,0230574;0,793827;0,709529;
-0,0227257;0,798222;0,704009;
-0,0223939;0,802093;0,698315;
-0,0220621;0,804842;0,692905;
-0,0217304;0,809494;0,687807;
-0,0213986;0,814228;0,683647;
-0,0210669;0,817342;0,67808;
-0,0207351;0,82031;0,671873;
-0,0204033;0,822133;0,665643;
-0,0200716;0,825441;0,659981;
-0,0197398;0,830412;0,65362;
-0,0194081;0,832806;0,646555;
-0,0190763;0,835681;0,639252;
-0,0187445;0,838953;0,631109;
